,,,,,,,
SwimmerName,EventName,Meet,Time,Position,StrokesPerLap,UWKicksPerLap,BreathsPerLap
"Ford, Sarah",50 Free,UST  Vs. Loyola New Orleans,26.75,3,16,3,2
"Streeter, Catherine",50 Free,UST  Vs. Loyola New Orleans,25.57,1,15,1,3
"Ervin, Aaron",50 Free,UST  Vs. Loyola New Orleans,23.00,2,13,2,2
"Jones, Nick",50 Free,UST  Vs. Loyola New Orleans,23.64,5,14,4,3
"Moore Yetter, Monty",50 Free,UST  Vs. Loyola New Orleans,23.26,3,15,3,1
"Ford, Sarah",100 Free,UST  Vs. Loyola New Orleans,01:00.15,3,15,2,4
"Streeter, Catherine",100 Free,UST  Vs. Loyola New Orleans,56.76,2,14,1,5
"Chehebar, Ben",100 Free,UST  Vs. Loyola New Orleans,49.95,3,13,3,4
"Ervin, Aaron",100 Free,UST  Vs. Loyola New Orleans,51.63,5,13,2,4
"McNamara, Jack",100 Free,UST  Vs. Loyola New Orleans,47.35,1,16,3,3
"Chehebar, Ben",200 Free,UST  Vs. Loyola New Orleans,01:46.61,1,13,2,
"McNamara, Jack",200 Free,UST  Vs. Loyola New Orleans,01:47.60,2,12,1,
"Quiddington, Harvey",200 Free,UST  Vs. Loyola New Orleans,01:53.81,5,14,2,
"Sutton, Hayden",200 Free,UST Vs. Loyola New Orleans,01:56.47,8,16,2,
"Chemacki, Abbi",500 Free,UST  Vs. Loyola New Orleans,05:41.53,1,16,1,
"Streeter, Catherine",500 Free,UST Vs. Loyola New Orleans,05:50.30,2,15,0,
"Chehebar, Ben",500 Free,UST  Vs. Loyola New Orleans,04:56.46,2,13,2,
"Gary, Logan",500 Free,UST Vs. Loyola New Orleans,05:01.12,4,14,2,
"Martinez, Sergio",500 Free,UST  Vs. Loyola New Orleans,04:55.97,1,12,1,
"Chemacki, Abbi",1000 Free,UST  Vs. Loyola New Orleans,11:40.85,1,15,1,
"Gary, Logan",1000 Free,UST Vs. Loyola New Orleans,01:23.14,1,14,2,
"Martinez, Sergio",1000 Free,UST Vs. Loyola New Orleans,10:28.82,2,12,1,
"Ford, Sarah",100 Back,UST  Vs. Loyola New Orleans,01:15.52,3,14,5,
"Chehebar, Ben",100 Back,UST  Vs. Loyola New Orleans,56.67,2,12,6,
"Jones, Nick",100 Back,UST  Vs. Loyola New Orleans,57.87,4,13,6,
"McNamara, Jack",100 Back,UST  Vs. Loyola New Orleans,56.57,1,14,5,
"Sutton, Hayden",100 Back,UST Vs. Loyola New Orleans,58.54,5,13,6,
"Gary, Logan",200 Back,UST Vs. Loyola New Orleans,02:12.61,4,12,6,
"Jones, Nick",200 Back,UST Vs. Loyola New Orleans,02:09.40,2,14,5,
"Sutton, Hayden",200 Back,UST Vs. Loyola New Orleans,02:11.42,3,14,6,
"Chemacki, Abbi",100 Breast,UST Vs. Loyola New Orleans,01:18.51,4,8,,
"Courville, Olivia",100 Breast,UST Vs. Loyola New Orleans,01:27.61,5,9,,
"Ervin, Aaron",100 Breast,UST Vs. Loyola New Orleans,01:08.02,5,8,,
"Moore Yetter, Monty",100 Breast,UST Vs. Loyola New Orleans,58.91,1,7,,
"Quiddington, Harvey",100 Breast,UST Vs. Loyola New Orleans,01:00.36,2,7,,
"Chemacki, Abbi",200 Breast,UST Vs. Loyola New Orleans,02:42.42,1,8,,
"Moore Yetter, Monty",200 Breast,UST Vs. Loyola New Orleans,02:10.96,1,6,,
"Quiddington, Harvey",200 Breast,UST Vs. Loyola New Orleans,02:12.93,2,6,,
"Romero, Emma",1000 Free,Loyola New Orleans Vs. Life,10:59.70,1,15,0,
"Martinez, Sergio",1000 Free,Loyola New Orleans Vs. Life,09:57.24,2,12,1,
"Moore Yetter, Monty",100 Breast,Loyola New Orleans Vs. Life,57.12,1,8,,
"Crescioni, Landon ",1000 Free,Loyola New Orleans Vs. Life,10:01.45,3,14,2,
"Martinez, Sergio",500 Free,Loyola New Orleans Vs. Life,04:50.90,2,12,1,
"Crescioni, Landon ",400 IM,Loyola New Orleans Vs. Life,04:12.12,2,,,
"Quiddington, Harvey",100 Breast,Loyola New Orleans Vs. Life,58.77,3,8,,
"Chehebar, Ben",200 Free,Loyola New Orleans Vs. Life,01:46.00,2,14,2,
"Moore Yetter, Monty",200 Breast,Loyola New Orleans Vs. Life,02:08.43,1,7,,
"Chehebar, Dylan",100 Fly,Loyola New Orleans Vs. Life,51.39,1,6,7,
"Chehebar, Dylan",200 Fly,Loyola New Orleans Vs. Life,01:56.45,1,6,8,
"Gary, Logan",200 Free,Loyola New Orleans Vs. Life,01:47.84,3,14,2,
"Quiddington, Harvey",200 Breast,Loyola New Orleans Vs. Life,02:10.08,3,7,,
"Henderson, Charles ",100 Fly,Loyola New Orleans Vs. Life,51.89,2,7,4,
"Gary, Logan",500 Free,Loyola New Orleans Vs. Life,05:00.65,4,13,2,
"Perfettini, Alex",200 Fly,Loyola New Orleans Vs. Life,01:58.57,3,8,4,
"Martinez, Sergio",100 Free,Loyola New Orleans Vs. Life,48.71,3,16,2,3
"Chehebar, Ben",500 Free,Loyola New Orleans Vs. Life,05:02.21,5,13,1,
"McNamara, Jack",100 Free,Loyola New Orleans Vs. Life,48.88,4,16,2,3
"Perfettini, Alex",400 IM,Loyola New Orleans Vs. Life,04:21.88,3,,,
"Turner, Adonis ",100 Fly,Loyola New Orleans Vs. Life,52.58,4,9,5,
