,,,
swimmername,eventname,besttime,
"Brunmeier, Shay",50 Free ,22.58,
"Brunmeier, Shay",100 Free,49.05,
"Brunmeier, Shay",200 Free,01:45.44,
"Brunmeier, Shay",500 Free,05:05.12,
"Brunmeier, Shay",1000 Free,10:35.56,
"Brunmeier, Shay",1650 Free,18:11.44,
"Brunmeier, Shay",100 Fly,51.8,
"Brunmeier, Shay",200 Fly,01:57.14,
"Brunmeier, Shay",100 Back ,52.97,
"Brunmeier, Shay",200 Back,01:55.33,
"Brunmeier, Shay",100 Breast,01:05.65,
"Brunmeier, Shay",200 Breast,02:21.36,
"Brunmeier, Shay",200 IM,01:58.02,
"Brunmeier, Shay",400 IM,04:25.04,
"Chehebar, Ben",50 Free ,21.8,
"Chehebar, Ben",100 Free,46.47,
"Chehebar, Ben",200 Free,01:41.21,
"Chehebar, Ben",500 Free,04:39.31,
"Chehebar, Ben",1000 Free,09:51.11,
"Chehebar, Ben",1650 Free,,
"Chehebar, Ben",100 Fly,52.84,
"Chehebar, Ben",200 Fly,02:15.01,
"Chehebar, Ben",100 Back ,52.97,
"Chehebar, Ben",200 Back,02:00.63,
"Chehebar, Ben",100 Breast,,
"Chehebar, Ben",200 Breast,,
"Chehebar, Ben",200 IM,01:55.61,
"Chehebar, Ben",400 IM,04:26.49,
"Chehebar, Dylan",50 Free ,20.93,
"Chehebar, Dylan",100 Free,47.23,
"Chehebar, Dylan",200 Free,01:48.98,
"Chehebar, Dylan",500 Free,05:03.24,
"Chehebar, Dylan",1000 Free,,
"Chehebar, Dylan",1650 Free,,
"Chehebar, Dylan",100 Fly,49.82,
"Chehebar, Dylan",200 Fly,01:52.46,
"Chehebar, Dylan",100 Back ,,
"Chehebar, Dylan",200 Back,,
"Chehebar, Dylan",100 Breast,59.07,
"Chehebar, Dylan",200 Breast,02:07.66,
"Chehebar, Dylan",200 IM,02:03.76,
"Chehebar, Dylan",400 IM,04:18.15,
"Crescioni, Landon",50 Free ,22.87,
"Crescioni, Landon",100 Free,49.24,
"Crescioni, Landon",200 Free,01:45.03,
"Crescioni, Landon",500 Free,04:44.52,
"Crescioni, Landon",1000 Free,09:43.73,
"Crescioni, Landon",1650 Free,16:41.75,
"Crescioni, Landon",100 Fly,53.53,
"Crescioni, Landon",200 Fly,01:54.45,
"Crescioni, Landon",100 Back ,55.05,
"Crescioni, Landon",200 Back,01:58.89,
"Crescioni, Landon",100 Breast,01:01.5,
"Crescioni, Landon",200 Breast,02:08.67,
"Crescioni, Landon",200 IM,01:57.10,
"Crescioni, Landon",400 IM,04:08.33,
"Ervin, Aaron",50 Free ,21.5,
"Ervin, Aaron",100 Free,47.94,
"Ervin, Aaron",200 Free,01:50.76,
"Ervin, Aaron",500 Free,,
"Ervin, Aaron",1000 Free,,
"Ervin, Aaron",1650 Free,,
"Ervin, Aaron",100 Fly,53.03,
"Ervin, Aaron",200 Fly,02:08.44,
"Ervin, Aaron",100 Back ,,
"Ervin, Aaron",200 Back,,
"Ervin, Aaron",100 Breast,59.71,
"Ervin, Aaron",200 Breast,02:18.20,
"Ervin, Aaron",200 IM,02:01.66,
"Ervin, Aaron",400 IM,,
"McNamara, Jack",50 Free ,21.14,
"McNamara, Jack",100 Free,45.79,
"McNamara, Jack",200 Free,01:41.70,
"McNamara, Jack",500 Free,,
"McNamara, Jack",1000 Free,,
"McNamara, Jack",1650 Free,,
"McNamara, Jack",100 Fly,56.57,
"McNamara, Jack",200 Fly,,
"McNamara, Jack",100 Back ,,
"McNamara, Jack",200 Back,,
"McNamara, Jack",100 Breast,01:00.09,
"McNamara, Jack",200 Breast,02:12.54,
"McNamara, Jack",200 IM,02:00.22,
"McNamara, Jack",400 IM,04:30.76,
"Gary, Logan",50 Free ,22.53,
"Gary, Logan",100 Free,48.34,
"Gary, Logan",200 Free,01:43.60,
"Gary, Logan",500 Free,04:46.13,
"Gary, Logan",1000 Free,09:55.77,
"Gary, Logan",1650 Free,16:36.56,
"Gary, Logan",100 Fly,53.88,
"Gary, Logan",200 Fly,01:58.15,
"Gary, Logan",100 Back ,58.52,
"Gary, Logan",200 Back,02:12.61,
"Gary, Logan",100 Breast,01:23.23,
"Gary, Logan",200 Breast,,
"Gary, Logan",200 IM,02:06.03,
"Gary, Logan",400 IM,04:30.01,
"Henderson, Charles ",50 Free ,22.16,
"Henderson, Charles ",100 Free,,
"Henderson, Charles ",200 Free,,
"Henderson, Charles ",500 Free,,
"Henderson, Charles ",1000 Free,,
"Henderson, Charles ",1650 Free,,
"Henderson, Charles ",100 Fly,50.01,
"Henderson, Charles ",200 Fly,01:54.31,
"Henderson, Charles ",100 Back ,,
"Henderson, Charles ",200 Back,02:18.43,
"Henderson, Charles ",100 Breast,,
"Henderson, Charles ",200 Breast,,
"Henderson, Charles ",200 IM,,
"Henderson, Charles ",400 IM,,
"Jones, Nick",50 Free ,21.85,
"Jones, Nick",100 Free,49.01,
"Jones, Nick",200 Free,01:51.09,
"Jones, Nick",500 Free,05:11.68,
"Jones, Nick",1000 Free,,
"Jones, Nick",1650 Free,,
"Jones, Nick",100 Fly,,
"Jones, Nick",200 Fly,,
"Jones, Nick",100 Back ,53.66,
"Jones, Nick",200 Back,02:01.24,
"Jones, Nick",100 Breast,01:06.11,
"Jones, Nick",200 Breast,02:34.00,
"Jones, Nick",200 IM,02:08.86,
"Jones, Nick",400 IM,,
"Martinez, Sergio",50 Free ,21.88,
"Martinez, Sergio",100 Free,47.49,
"Martinez, Sergio",200 Free,01:43.27,
"Martinez, Sergio",500 Free,04:40.98,
"Martinez, Sergio",1000 Free,10:00.45,
"Martinez, Sergio",1650 Free,16:37.76,
"Martinez, Sergio",100 Fly,59.7,
"Martinez, Sergio",200 Fly,02:09.17,
"Martinez, Sergio",100 Back ,,
"Martinez, Sergio",200 Back,,
"Martinez, Sergio",100 Breast,,
"Martinez, Sergio",200 Breast,,
"Martinez, Sergio",200 IM,,
"Martinez, Sergio",400 IM,04:25.99,
"Moore Yetter, Monty",50 Free ,23.26,
"Moore Yetter, Monty",100 Free,,
"Moore Yetter, Monty",200 Free,,
"Moore Yetter, Monty",500 Free,,
"Moore Yetter, Monty",1000 Free,,
"Moore Yetter, Monty",1650 Free,,
"Moore Yetter, Monty",100 Fly,55.09,
"Moore Yetter, Monty",200 Fly,,
"Moore Yetter, Monty",100 Back ,53.93,
"Moore Yetter, Monty",200 Back,02:03.90,
"Moore Yetter, Monty",100 Breast,56.08,
"Moore Yetter, Monty",200 Breast,02:03.10,
"Moore Yetter, Monty",200 IM,01:53.80,
"Moore Yetter, Monty",400 IM,04:21.70,
"Ory, Carter",50 Free ,22.03,
"Ory, Carter",100 Free,48.37,
"Ory, Carter",200 Free,01:54.31,
"Ory, Carter",500 Free,5.04.29,
"Ory, Carter",1000 Free,,
"Ory, Carter",1650 Free,,
"Ory, Carter",100 Fly,52.32,
"Ory, Carter",200 Fly,02:17.56,
"Ory, Carter",100 Back ,54.39,
"Ory, Carter",200 Back,,
"Ory, Carter",100 Breast,,
"Ory, Carter",200 Breast,,
"Ory, Carter",200 IM,02:01.07,
"Ory, Carter",400 IM,,
"Quiddington, Harvey",50 Free ,25.22,
"Quiddington, Harvey",100 Free,52.15,
"Quiddington, Harvey",200 Free,01:53.81,
"Quiddington, Harvey",500 Free,04:49.14,
"Quiddington, Harvey",1000 Free,,
"Quiddington, Harvey",1650 Free,,
"Quiddington, Harvey",100 Fly,55.99,
"Quiddington, Harvey",200 Fly,,
"Quiddington, Harvey",100 Back ,,
"Quiddington, Harvey",200 Back,,
"Quiddington, Harvey",100 Breast,56.98,
"Quiddington, Harvey",200 Breast,02:02.77,
"Quiddington, Harvey",200 IM,01:56.62,
"Quiddington, Harvey",400 IM,04:05.97,
"Sutton, Hayden",50 Free ,22.28,
"Sutton, Hayden",100 Free,49.35,
"Sutton, Hayden",200 Free,01:56.40,
"Sutton, Hayden",500 Free,,
"Sutton, Hayden",1000 Free,,
"Sutton, Hayden",1650 Free,,
"Sutton, Hayden",100 Fly,55.06,
"Sutton, Hayden",200 Fly,02:00.89,
"Sutton, Hayden",100 Back ,,
"Sutton, Hayden",200 Back,,
"Sutton, Hayden",100 Breast,,
"Sutton, Hayden",200 Breast,,
"Sutton, Hayden",200 IM,,
"Sutton, Hayden",400 IM,,
"Turner, Adonis",50 Free ,25.05,
"Turner, Adonis",100 Free,54.11,
"Turner, Adonis",200 Free,,
"Turner, Adonis",500 Free,,
"Turner, Adonis",1000 Free,,
"Turner, Adonis",1650 Free,,
"Turner, Adonis",100 Fly,56.09,
"Turner, Adonis",200 Fly,02:08.24,
"Turner, Adonis",100 Back ,56.55,
"Turner, Adonis",200 Back,02:07.70,
"Turner, Adonis",100 Breast,,
"Turner, Adonis",200 Breast,,
"Turner, Adonis",200 IM,,
"Turner, Adonis",400 IM,,
"Chemacki, Abbi",50 Free ,28.3,
"Chemacki, Abbi",100 Free,58.84,
"Chemacki, Abbi",200 Free,01:58.82,
"Chemacki, Abbi",500 Free,05:10.63,
"Chemacki, Abbi",1000 Free,10:32.32,
"Chemacki, Abbi",1650 Free,17:44.41,
"Chemacki, Abbi",100 Fly,,
"Chemacki, Abbi",200 Fly,,
"Chemacki, Abbi",100 Back ,,
"Chemacki, Abbi",200 Back,,
"Chemacki, Abbi",100 Breast,01:10.35,
"Chemacki, Abbi",200 Breast,2.31.88,
"Chemacki, Abbi",200 IM,,
"Chemacki, Abbi",400 IM,04:39.18,
"Courville, Olivia",50 Free ,29.74,
"Courville, Olivia",100 Free,01:09.23,
"Courville, Olivia",200 Free,02:30.78,
"Courville, Olivia",500 Free,,
"Courville, Olivia",1000 Free,,
"Courville, Olivia",1650 Free,,
"Courville, Olivia",100 Fly,01:07.55,
"Courville, Olivia",200 Fly,02:26.24,
"Courville, Olivia",100 Back ,,
"Courville, Olivia",200 Back,,
"Courville, Olivia",100 Breast,01:26.05,
"Courville, Olivia",200 Breast,,
"Courville, Olivia",200 IM,,
"Courville, Olivia",400 IM,,
"Ford, Sarah",50 Free ,26.75,
"Ford, Sarah",100 Free,01:00.15,
"Ford, Sarah",200 Free,,
"Ford, Sarah",500 Free,,
"Ford, Sarah",1000 Free,,
"Ford, Sarah",1650 Free,,
"Ford, Sarah",100 Fly,,
"Ford, Sarah",200 Fly,,
"Ford, Sarah",100 Back ,01:09.99,
"Ford, Sarah",200 Back,,
"Ford, Sarah",100 Breast,,
"Ford, Sarah",200 Breast,,
"Ford, Sarah",200 IM,,
"Ford, Sarah",400 IM,,
"McLaughin, Natalie",50 Free ,27.57,
"McLaughin, Natalie",100 Free,01:00.72,
"McLaughin, Natalie",200 Free,,
"McLaughin, Natalie",500 Free,,
"McLaughin, Natalie",1000 Free,,
"McLaughin, Natalie",1650 Free,,
"McLaughin, Natalie",100 Fly,01:10.82,
"McLaughin, Natalie",200 Fly,,
"McLaughin, Natalie",100 Back ,01:07.97,
"McLaughin, Natalie",200 Back,02:47.50,
"McLaughin, Natalie",100 Breast,,
"McLaughin, Natalie",200 Breast,,
"McLaughin, Natalie",200 IM,,
"McLaughin, Natalie",400 IM,,
"Solbach, Cloe",50 Free ,26.35,
"Solbach, Cloe",100 Free,56.72,
"Solbach, Cloe",200 Free,,
"Solbach, Cloe",500 Free,,
"Solbach, Cloe",1000 Free,,
"Solbach, Cloe",1650 Free,,
"Solbach, Cloe",100 Fly,01:08.45,
"Solbach, Cloe",200 Fly,,
"Solbach, Cloe",100 Back ,01:00.63,
"Solbach, Cloe",200 Back,02:12.03,
"Solbach, Cloe",100 Breast,01:15.52,
"Solbach, Cloe",200 Breast,,
"Solbach, Cloe",200 IM,,
"Solbach, Cloe",400 IM,,
"Streeter, Catherine",50 Free ,23.93,
"Streeter, Catherine",100 Free,52.83,
"Streeter, Catherine",200 Free,01:56.93,
"Streeter, Catherine",500 Free,05:50.30,
"Streeter, Catherine",1000 Free,,
"Streeter, Catherine",1650 Free,,
"Streeter, Catherine",100 Fly,01:01.44,
"Streeter, Catherine",200 Fly,,
"Streeter, Catherine",100 Back ,,
"Streeter, Catherine",200 Back,,
"Streeter, Catherine",100 Breast,,
"Streeter, Catherine",200 Breast,,
"Streeter, Catherine",200 IM,,
"Streeter, Catherine",400 IM,,
